beyond	乐手	1.0	0.023603081630049084
beyond	乐队	1.0	-0.012660202879138908
beyond	音乐	-1.0	-0.19903750761110278
ceti	证件	1.0	0.13985035195021067
cfo	公司	-1.0	-0.035357372296329556
cfo	官员	1.0	0.010792393054614866
cm	同人	-1.0	0.16676070970098442
cm	职业	-1.0	0.17281259811781527
cosplay	娱乐	-1.0	-0.05948903068186592
cosplay	生活	-1.0	-0.209512870851394
ddr	内存	-1.0	0.02561076640540567
ddr	电脑硬件	-1.0	0.04041642359945052
ddr	硬件	-1.0	-0.004135302662194871
ddr	街机	-1.0	0.00215637018584637
demo	影视	-1.0	-0.05052750026287714
diy	居家	-1.0	-0.16287999461552935
dms	数据库	-1.0	-0.037029907142284046
eda	微电子学	-1.0	-0.18714115004558923
evd	多媒体	-1.0	-0.2370376185641101
evd	视频	-1.0	-0.11088553690317784
faq	国际贸易	-1.0	-0.1986536275556796
gmail	电子邮件	1.0	0.09291549904943996
google	企业	1.0	-0.0754301094292376
google	搜索引擎	1.0	0.18175560951755132
google	网站	1.0	0.031010097304555274
google	美国	-1.0	-0.10957162599982083
google	著名品牌	1.0	-0.12831582547235543
gprs	wap	-1.0	-0.010048701123628725
gprs	手机	-1.0	0.04579287018818636
gprs	数码产品	-1.0	0.01976374420776895
gprs	无线	-1.0	0.02246774912606192
gprs	无线通讯	-1.0	-0.028812975530424164
gprs	电信	-1.0	-0.034644478013942166
gprs	软交换	-1.0	0.05903172785079948
gpu	芯片	-1.0	-0.12363722711460146
hide	明星	-1.0	-0.2164435092313238
id	应用科学	-1.0	-0.3289908484360555
imf	国际金融	-1.0	-0.248084228840005
ipc	科学	-1.0	-0.2618065265654409
ipod	数码产品	1.0	0.03769944910970168
ipod	消费品	-1.0	-0.02169309377410472
ipod	电子产品	1.0	0.04490315544386139
iptv	宽带	-1.0	-0.15941206927427062
iptv	电信	-1.0	-0.0804104095452823
it	企业	-1.0	-0.04923228895286906
it	歌曲	-1.0	-0.13142111849028323
it	音乐	-1.0	-0.2197027770471649
jpg	图片	-1.0	0.11438199451594694
kaffee	饮料	1.0	0.18236541890105626
lddm	驱动	-1.0	0.11365687751819636
linux	内核	-1.0	-0.09035803962796764
linux	即时通讯	-1.0	-0.033205545102838865
linux	常用软件	-1.0	-0.01868044219870543
linux	微软	-1.0	0.005868477887169964
linux	系统软件	-1.0	-0.0033914253349360216
mop	澳门	-1.0	-0.1388354073025776
msn	即时通讯	-1.0	0.08365832394267049
msn	网络软件	1.0	0.03204273033650861
msn	软件	1.0	0.06942971518761791
newcastle	加拿大	-1.0	-0.367823873538178
newcastle	美国	-1.0	-0.34370122313009305
newcastle	英国	-1.0	-0.3799403290216979
ntfs	文件系统	1.0	0.07713213647752407
orz	生活	-1.0	-0.27130755765953374
qq	传媒	-1.0	-0.019973900721602756
qq	传播	-1.0	-0.08086177462587403
qq	常用软件	1.0	0.13732634234682864
qq	系统软件	-1.0	-0.006254270906257493
qq	软件	-1.0	0.08738616866268083
rbs	激光	-1.0	-0.0760736461518247
seo	网络营销	-1.0	-0.15043890423013415
shell	操作系统	-1.0	0.06743877034679077
skype	通讯	-1.0	-0.11521575189700856
sql	地理学	-1.0	-0.14501477964745216
sql	数据库	-1.0	0.03655164975985801
ssl	电子商务	-1.0	-0.10358927020168131
tvb	香港	-1.0	-0.21188497806525616
usb	数据传输	-1.0	0.0038867095129732853
usb	标准	-1.0	0.1416735344274951
usb	玩具	-1.0	-0.005636563963530746
vhdl	集成电路	-1.0	0.0219306779070518
whois	数据管理	-1.0	-0.013162603218657603
wikipedia	网站	1.0	0.04658002982548058
winrar	传播	-1.0	-0.15166369587974982
woman	英伦	-1.0	-0.22832085980781489
zippo	生活	-1.0	-0.41920690861976445
zone	日本	-1.0	-0.29101498068700365
一了百了	成语	1.0	0.41323514787774857
一了百了	音乐	-1.0	-0.2891193901853964
一傅众咻	学习	-1.0	-0.350608036698112
一傅众咻	成语	1.0	0.42514498944649814
一元复始	活动	-1.0	-0.1558400937254384
一木难支	成语	1.0	0.3072574022148832
一木难支	词语	1.0	0.29305573711931726
一氧化二氮	化学工业	-1.0	-0.033676848676455665
一氧化二氮	自然科学	-1.0	-0.6312245725682992
一氧化碳	化学工业	-1.0	-0.06185614856566308
一氧化碳	自然科学	-1.0	-0.6215714142463135
丁宝桢	人物	1.0	0.4835387325663074
丁石孙	人物	1.0	0.2957546210019273
丁石孙	科学家	1.0	0.17296543704259468
丁石孙	领导人	1.0	0.2851043829705508
丁肇中	诺贝尔奖	-1.0	0.0737738264307403
七分裤	生活	-1.0	-0.3595350419224125
七言律诗	近体诗	-1.0	0.06302361466283884
万俟咏	宋词	-1.0	-0.10587362069951536
万州区	重庆	-1.0	-0.5251012025700484
万州区	重庆市	-1.0	-0.14096465702861288
万年青	自然	-1.0	-0.4757074976803274
万艾可	药品	1.0	0.2801093279210742
万里	人物	1.0	0.2622998287261913
万里	领导人	1.0	0.030535883737602784
丈人	由来	-1.0	0.2656869652059638
三二联防	篮球	-1.0	-0.2657061726382968
三亚	海南	-1.0	-0.33408315846973535
三叶虫	海洋生物	1.0	-0.09777509297954425
三叶虫	节肢动物	1.0	0.3070393671445027
三教九流	漫画	-1.0	-0.08417343747815276
三明治	生活	-1.0	-0.5304130559129859
三明治	美食	1.0	0.1319107023650553
三明治	食品	1.0	0.4830407506852883
三晋	太原	-1.0	-0.256700456365566
三晋	山西	-1.0	-0.3300776972873282
三月不知肉味	成语	1.0	0.341917336389004
三月不知肉味	谚语	1.0	0.05592651366173128
三氧化二砷	内科学	-1.0	-0.33142458585925616
三江平原	黑龙江	-1.0	-0.4061232052741369
三法印	术语	1.0	0.47269402313181574
三纲五常	成语	1.0	0.34165732624481854
三角形	自然科学	-1.0	-0.23595656772670892
三资企业	合资企业	1.0	0.1778218150010774
三资企业	流行语	1.0	0.024808571646177207
三长两短	成语	1.0	0.3961584386682532
三阳开泰	陶瓷	-1.0	0.14945539840045854
三顾茅庐	成语	1.0	0.17970300145106363
上官仪	人物	1.0	0.5736514654514634
上海	亚洲	-1.0	0.0663127183843092
上海	国际	-1.0	0.1745780367560723
上海交通大学	上海	-1.0	-0.3650353372051015
上海大学	上海	-1.0	-0.36284472007913515
上海理工大学	上海	-1.0	-0.4321430307055671
上穷碧落	小说	1.0	-0.0036865880772875077
上穷碧落	诗词	1.0	-0.12782086810084048
不丹	亚洲	-1.0	-0.1247238506578398
不丹	南亚	-1.0	-0.15455459980096056
不够	音乐	-1.0	-0.2777195493053877
不等式	分子生物学	-1.0	-0.35359431242605605
不舞之鹤	成语	1.0	0.35447158925521016
不舞之鹤	熟语	1.0	0.26012266008969687
不舞之鹤	词语	1.0	0.34314211566894204
不良贷款	社会科学	-1.0	-0.26133757114804185
世博园	云南	-1.0	-0.33584478771260046
世博园	昆明	-1.0	-0.338633804367337
世界知识产权组织	版权	-1.0	0.019694468169082997
